Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
6,Sun,2026-10-11,,Lecce,,Bologna,,Stadio Comunale Ettore Giardiniero,,Head-to-Head,
6,Sun,2026-10-11,,Inter,,Parma,,Stadio Giuseppe Meazza,,Head-to-Head,
6,Sun,2026-10-11,,Sassuolo,,Milan,,Mapei Stadium - Città del Tricolore,,Head-to-Head,
,,,,,,,,,,,
7,Sat,2026-10-17,,Monza,,Cagliari,,U-Power Stadium,,Head-to-Head,
7,Sat,2026-10-17,,Fiorentina,,Como,,Stadio Artemio Franchi,,Head-to-Head,
7,Sat,2026-10-17,,Juventus,,Lazio,,Allianz Stadium,,Head-to-Head,
7,Sat,2026-10-17,,Milan,,Atalanta,,Stadio Giuseppe Meazza,,Head-to-Head,
7,Sat,2026-10-17,,Venezia,,Napoli,,Stadio Pier Luigi Penzo,,Head-to-Head,
7,Sat,2026-10-17,,Frosinone,,Sassuolo,,Stadio Benito Stirpe,,Head-to-Head,
7,Sat,2026-10-17,,Udinese,,Lecce,,Bluenergy Stadium,,Head-to-Head,
7,Sat,2026-10-17,,Bologna,,Inter,,Stadio Renato Dall'Ara,,Head-to-Head,
7,Sat,2026-10-17,,Parma,,Torino,,Stadio Ennio Tardini,,Head-to-Head,
7,Sat,2026-10-17,,Roma,,Genoa,,Stadio Olimpico,,Head-to-Head,
,,,,,,,,,,,
8,Sun,2026-10-25,,Atalanta,,Frosinone,,New Balance Arena,,Head-to-Head,
8,Sun,2026-10-25,,Lazio,,Parma,,Stadio Olimpico,,Head-to-Head,
8,Sun,2026-10-25,,Lecce,,Juventus,,Stadio Comunale Ettore Giardiniero,,Head-to-Head,
8,Sun,2026-10-25,,Genoa,,Venezia,,Stadio Comunale Luigi Ferraris,,Head-to-Head,
8,Sun,2026-10-25,,Inter,,Fiorentina,,Stadio Giuseppe Meazza,,Head-to-Head,
8,Sun,2026-10-25,,Como,,Sassuolo,,Stadio Giuseppe Sinigaglia,,Head-to-Head,
8,Sun,2026-10-25,,Cagliari,,Bologna,,Unipol Domus,,Head-to-Head,
8,Sun,2026-10-25,,Udinese,,Milan,,Bluenergy Stadium,,Head-to-Head,
8,Sun,2026-10-25,,Napoli,,Roma,,Stadio Diego Armando Maradona,,Head-to-Head,
8,Sun,2026-10-25,,Torino,,Monza,,Stadio Olimpico Grande Torino,,Head-to-Head,
,,,,,,,,,,,
9,Wed,2026-10-28,,Sassuolo,,Lazio,,Mapei Stadium - Città del Tricolore,,Head-to-Head,
9,Wed,2026-10-28,,Genoa,,Juventus,,Stadio Comunale Luigi Ferraris,,Head-to-Head,
9,Wed,2026-10-28,,Milan,,Bologna,,Stadio Giuseppe Meazza,,Head-to-Head,
9,Wed,2026-10-28,,Monza,,Napoli,,U-Power Stadium,,Head-to-Head,
9,Wed,2026-10-28,,Venezia,,Inter,,Stadio Pier Luigi Penzo,,Head-to-Head,
9,Wed,2026-10-28,,Parma,,Udinese,,Stadio Ennio Tardini,,Head-to-Head,
9,Wed,2026-10-28,,Roma,,Cagliari,,Stadio Olimpico,,Head-to-Head,
9,Wed,2026-10-28,,Frosinone,,Lecce,,Stadio Benito Stirpe,,Head-to-Head,
9,Wed,2026-10-28,,Fiorentina,,Atalanta,,Stadio Artemio Franchi,,Head-to-Head,
9,Wed,2026-10-28,,Torino,,Como,,Stadio Olimpico Grande Torino,,Head-to-Head,
,,,,,,,,,,,
10,Sun,2026-11-01,,Lazio,,Cagliari,,Stadio Olimpico,,Head-to-Head,
10,Sun,2026-11-01,,Como,,Venezia,,Stadio Giuseppe Sinigaglia,,Head-to-Head,
10,Sun,2026-11-01,,Frosinone,,Torino,,Stadio Benito Stirpe,,Head-to-Head,
10,Sun,2026-11-01,,Milan,,Inter,,Stadio Giuseppe Meazza,,Head-to-Head,
10,Sun,2026-11-01,,Juventus,,Napoli,,Allianz Stadium,,Head-to-Head,
10,Sun,2026-11-01,,Sassuolo,,Fiorentina,,Mapei Stadium - Città del Tricolore,,Head-to-Head,
10,Sun,2026-11-01,,Udinese,,Roma,,Bluenergy Stadium,,Head-to-Head,
10,Sun,2026-11-01,,Bologna,,Monza,,Stadio Renato Dall'Ara,,Head-to-Head,
10,Sun,2026-11-01,,Atalanta,,Parma,,New Balance Arena,,Head-to-Head,
10,Sun,2026-11-01,,Lecce,,Genoa,,Stadio Comunale Ettore Giardiniero,,Head-to-Head,
,,,,,,,,,,,
11,Sun,2026-11-08,,Napoli,,Lazio,,Stadio Diego Armando Maradona,,Head-to-Head,
11,Sun,2026-11-08,,Venezia,,Udinese,,Stadio Pier Luigi Penzo,,Head-to-Head,
11,Sun,2026-11-08,,Torino,,Lecce,,Stadio Olimpico Grande Torino,,Head-to-Head,
11,Sun,2026-11-08,,Monza,,Atalanta,,U-Power Stadium,,Head-to-Head,
11,Sun,2026-11-08,,Fiorentina,,Juventus,,Stadio Artemio Franchi,,Head-to-Head,
11,Sun,2026-11-08,,Inter,,Como,,Stadio Giuseppe Meazza,,Head-to-Head,
11,Sun,2026-11-08,,Roma,,Sassuolo,,Stadio Olimpico,,Head-to-Head,
11,Sun,2026-11-08,,Parma,,Bologna,,Stadio Ennio Tardini,,Head-to-Head,
11,Sun,2026-11-08,,Cagliari,,Frosinone,,Unipol Domus,,Head-to-Head,
11,Sun,2026-11-08,,Genoa,,Milan,,Stadio Comunale Luigi Ferraris,,Head-to-Head,
,,,,,,,,,,,
12,Sun,2026-11-22,,Parma,,Roma,,Stadio Ennio Tardini,,Head-to-Head,
12,Sun,2026-11-22,,Milan,,Frosinone,,Stadio Giuseppe Meazza,,Head-to-Head,
12,Sun,2026-11-22,,Como,,Cagliari,,Stadio Giuseppe Sinigaglia,,Head-to-Head,
12,Sun,2026-11-22,,Sassuolo,,Genoa,,Mapei Stadium - Città del Tricolore,,Head-to-Head,
12,Sun,2026-11-22,,Juventus,,Venezia,,Allianz Stadium,,Head-to-Head,
12,Sun,2026-11-22,,Napoli,,Torino,,Stadio Diego Armando Maradona,,Head-to-Head,
12,Sun,2026-11-22,,Bologna,,Udinese,,Stadio Renato Dall'Ara,,Head-to-Head,
12,Sun,2026-11-22,,Lazio,,Lecce,,Stadio Olimpico,,Head-to-Head,
12,Sun,2026-11-22,,Monza,,Fiorentina,,U-Power Stadium,,Head-to-Head,
12,Sun,2026-11-22,,Atalanta,,Inter,,New Balance Arena,,Head-to-Head,
,,,,,,,,,,,
13,Sun,2026-11-29,,Como,,Juventus,,Stadio Giuseppe Sinigaglia,,Head-to-Head,
13,Sun,2026-11-29,,Sassuolo,,Napoli,,Mapei Stadium - Città del Tricolore,,Head-to-Head,
13,Sun,2026-11-29,,Lecce,,Atalanta,,Stadio Comunale Ettore Giardiniero,,Head-to-Head,
13,Sun,2026-11-29,,Torino,,Lazio,,Stadio Olimpico Grande Torino,,Head-to-Head,
13,Sun,2026-11-29,,Frosinone,,Parma,,Stadio Benito Stirpe,,Head-to-Head,
13,Sun,2026-11-29,,Cagliari,,Milan,,Unipol Domus,,Head-to-Head,
13,Sun,2026-11-29,,Venezia,,Bologna,,Stadio Pier Luigi Penzo,,Head-to-Head,
13,Sun,2026-11-29,,Udinese,,Fiorentina,,Bluenergy Stadium,,Head-to-Head,
13,Sun,2026-11-29,,Roma,,Monza,,Stadio Olimpico,,Head-to-Head,
13,Sun,2026-11-29,,Inter,,Genoa,,Stadio Giuseppe Meazza,,Head-to-Head,
,,,,,,,,,,,
14,Sun,2026-12-06,,Frosinone,,Inter,,Stadio Benito Stirpe,,Head-to-Head,
14,Sun,2026-12-06,,Bologna,,Roma,,Stadio Renato Dall'Ara,,Head-to-Head,
14,Sun,2026-12-06,,Juventus,,Udinese,,Allianz Stadium,,Head-to-Head,
14,Sun,2026-12-06,,Venezia,,Sassuolo,,Stadio Pier Luigi Penzo,,Head-to-Head,
14,Sun,2026-12-06,,Fiorentina,,Cagliari,,Stadio Artemio Franchi,,Head-to-Head,
14,Sun,2026-12-06,,Monza,,Como,,U-Power Stadium,,Head-to-Head,
14,Sun,2026-12-06,,Milan,,Parma,,Stadio Giuseppe Meazza,,Head-to-Head,
14,Sun,2026-12-06,,Genoa,,Torino,,Stadio Comunale Luigi Ferraris,,Head-to-Head,
14,Sun,2026-12-06,,Napoli,,Lecce,,Stadio Diego Armando Maradona,,Head-to-Head,
14,Sun,2026-12-06,,Lazio,,Atalanta,,Stadio Olimpico,,Head-to-Head,
,,,,,,,,,,,
15,Sun,2026-12-13,,Atalanta,,Genoa,,New Balance Arena,,Head-to-Head,
15,Sun,2026-12-13,,Inter,,Torino,,Stadio Giuseppe Meazza,,Head-to-Head,
15,Sun,2026-12-13,,Parma,,Fiorentina,,Stadio Ennio Tardini,,Head-to-Head,
15,Sun,2026-12-13,,Lazio,,Roma,,Stadio Olimpico,,Head-to-Head,
15,Sun,2026-12-13,,Juventus,,Monza,,Allianz Stadium,,Head-to-Head,
15,Sun,2026-12-13,,Udinese,,Frosinone,,Bluenergy Stadium,,Head-to-Head,
15,Sun,2026-12-13,,Lecce,,Sassuolo,,Stadio Comunale Ettore Giardiniero,,Head-to-Head,
15,Sun,2026-12-13,,Como,,Bologna,,Stadio Giuseppe Sinigaglia,,Head-to-Head,
15,Sun,2026-12-13,,Napoli,,Milan,,Stadio Diego Armando Maradona,,Head-to-Head,
15,Sun,2026-12-13,,Cagliari,,Venezia,,Unipol Domus,,Head-to-Head,
,,,,,,,,,,,
16,Sun,2026-12-20,,Atalanta,,Napoli,,New Balance Arena,,Head-to-Head,
16,Sun,2026-12-20,,Fiorentina,,Bologna,,Stadio Artemio Franchi,,Head-to-Head,
16,Sun,2026-12-20,,Sassuolo,,Parma,,Mapei Stadium - Città del Tricolore,,Head-to-Head,
16,Sun,2026-12-20,,Venezia,,Monza,,Stadio Pier Luigi Penzo,,Head-to-Head,
16,Sun,2026-12-20,,Milan,,Como,,Stadio Giuseppe Meazza,,Head-to-Head,
16,Sun,2026-12-20,,Frosinone,,Lazio,,Stadio Benito Stirpe,,Head-to-Head,
16,Sun,2026-12-20,,Lecce,,Inter,,Stadio Comunale Ettore Giardiniero,,Head-to-Head,
16,Sun,2026-12-20,,Roma,,Juventus,,Stadio Olimpico,,Head-to-Head,
16,Sun,2026-12-20,,Torino,,Cagliari,,Stadio Olimpico Grande Torino,,Head-to-Head,
16,Sun,2026-12-20,,Genoa,,Udinese,,Stadio Comunale Luigi Ferraris,,Head-to-Head,
,,,,,,,,,,,
17,Sun,2027-01-03,,Bologna,,Juventus,,Stadio Renato Dall'Ara,,Head-to-Head,
17,Sun,2027-01-03,,Como,,Lecce,,Stadio Giuseppe Sinigaglia,,Head-to-Head,
17,Sun,2027-01-03,,Cagliari,,Genoa,,Unipol Domus,,Head-to-Head,
17,Sun,2027-01-03,,Fiorentina,,Lazio,,Stadio Artemio Franchi,,Head-to-Head,
17,Sun,2027-01-03,,Inter,,Sassuolo,,Stadio Giuseppe Meazza,,Head-to-Head,
17,Sun,2027-01-03,,Roma,,Frosinone,,Stadio Olimpico,,Head-to-Head,
17,Sun,2027-01-03,,Parma,,Napoli,,Stadio Ennio Tardini,,Head-to-Head,
17,Sun,2027-01-03,,Monza,,Milan,,U-Power Stadium,,Head-to-Head,
17,Sun,2027-01-03,,Udinese,,Atalanta,,Bluenergy Stadium,,Head-to-Head,
17,Sun,2027-01-03,,Torino,,Venezia,,Stadio Olimpico Grande Torino,,Head-to-Head,
,,,,,,,,,,,
18,Wed,2027-01-06,,Napoli,,Cagliari,,Stadio Diego Armando Maradona,,Head-to-Head,
18,Wed,2027-01-06,,Atalanta,,Como,,New Balance Arena,,Head-to-Head,
18,Wed,2027-01-06,,Sassuolo,,Udinese,,Mapei Stadium - Città del Tricolore,,Head-to-Head,
18,Wed,2027-01-06,,Juventus,,Torino,,Allianz Stadium,,Head-to-Head,
18,Wed,2027-01-06,,Lecce,,Parma,,Stadio Comunale Ettore Giardiniero,,Head-to-Head,
18,Wed,2027-01-06,,Milan,,Fiorentina,,Stadio Giuseppe Meazza,,Head-to-Head,
18,Wed,2027-01-06,,Venezia,,Roma,,Stadio Pier Luigi Penzo,,Head-to-Head,
18,Wed,2027-01-06,,Lazio,,Inter,,Stadio Olimpico,,Head-to-Head,
18,Wed,2027-01-06,,Frosinone,,Bologna,,Stadio Benito Stirpe,,Head-to-Head,
18,Wed,2027-01-06,,Genoa,,Monza,,Stadio Comunale Luigi Ferraris,,Head-to-Head,
,,,,,,,,,,,
19,Sun,2027-01-10,,Como,,Lazio,,Stadio Giuseppe Sinigaglia,,Head-to-Head,
19,Sun,2027-01-10,,Fiorentina,,Lecce,,Stadio Artemio Franchi,,Head-to-Head,
19,Sun,2027-01-10,,Bologna,,Genoa,,Stadio Renato Dall'Ara,,Head-to-Head,
19,Sun,2027-01-10,,Roma,,Milan,,Stadio Olimpico,,Head-to-Head,
19,Sun,2027-01-10,,Torino,,Atalanta,,Stadio Olimpico Grande Torino,,Head-to-Head,
19,Sun,2027-01-10,,Udinese,,Napoli,,Bluenergy Stadium,,Head-to-Head,
19,Sun,2027-01-10,,Cagliari,,Sassuolo,,Unipol Domus,,Head-to-Head,
19,Sun,2027-01-10,,Inter,,Juventus,,Stadio Giuseppe Meazza,,Head-to-Head,
19,Sun,2027-01-10,,Monza,,Frosinone,,U-Power Stadium,,Head-to-Head,
19,Sun,2027-01-10,,Parma,,Venezia,,Stadio Ennio Tardini,,Head-to-Head,
,,,,,,,,,,,
20,Sun,2027-01-17,,Atalanta,,Roma,,New Balance Arena,,Head-to-Head,
20,Sun,2027-01-17,,Lecce,,Udinese,,Stadio Comunale Ettore Giardiniero,,Head-to-Head,
20,Sun,2027-01-17,,Napoli,,Fiorentina,,Stadio Diego Armando Maradona,,Head-to-Head,
20,Sun,2027-01-17,,Venezia,,Frosinone,,Stadio Pier Luigi Penzo,,Head-to-Head,
20,Sun,2027-01-17,,Parma,,Inter,,Stadio Ennio Tardini,,Head-to-Head,
20,Sun,2027-01-17,,Cagliari,,Como,,Unipol Domus,,Head-to-Head,
20,Sun,2027-01-17,,Juventus,,Genoa,,Allianz Stadium,,Head-to-Head,
20,Sun,2027-01-17,,Lazio,,Bologna,,Stadio Olimpico,,Head-to-Head,
20,Sun,2027-01-17,,Sassuolo,,Monza,,Mapei Stadium - Città del Tricolore,,Head-to-Head,
20,Sun,2027-01-17,,Milan,,Torino,,Stadio Giuseppe Meazza,,Head-to-Head,
,,,,,,,,,,,
21,Sun,2027-01-24,,Bologna,,Atalanta,,Stadio Renato Dall'Ara,,Head-to-Head,
21,Sun,2027-01-24,,Monza,,Lazio,,U-Power Stadium,,Head-to-Head,
21,Sun,2027-01-24,,Como,,Napoli,,Stadio Giuseppe Sinigaglia,,Head-to-Head,
21,Sun,2027-01-24,,Roma,,Udinese,,Stadio Olimpico,,Head-to-Head,
21,Sun,2027-01-24,,Inter,,Venezia,,Stadio Giuseppe Meazza,,Head-to-Head,
21,Sun,2027-01-24,,Fiorentina,,Sassuolo,,Stadio Artemio Franchi,,Head-to-Head,
21,Sun,2027-01-24,,Genoa,,Parma,,Stadio Comunale Luigi Ferraris,,Head-to-Head,
21,Sun,2027-01-24,,Lecce,,Torino,,Stadio Comunale Ettore Giardiniero,,Head-to-Head,
21,Sun,2027-01-24,,Frosinone,,Milan,,Stadio Benito Stirpe,,Head-to-Head,
21,Sun,2027-01-24,,Juventus,,Cagliari,,Allianz Stadium,,Head-to-Head,
,,,,,,,,,,,
22,Sun,2027-01-31,,Udinese,,Bologna,,Bluenergy Stadium,,Head-to-Head,
22,Sun,2027-01-31,,Monza,,Roma,,U-Power Stadium,,Head-to-Head,
22,Sun,2027-01-31,,Torino,,Frosinone,,Stadio Olimpico Grande Torino,,Head-to-Head,
22,Sun,2027-01-31,,Milan,,Juventus,,Stadio Giuseppe Meazza,,Head-to-Head,
22,Sun,2027-01-31,,Lazio,,Venezia,,Stadio Olimpico,,Head-to-Head,
22,Sun,2027-01-31,,Atalanta,,Fiorentina,,New Balance Arena,,Head-to-Head,
22,Sun,2027-01-31,,Napoli,,Inter,,Stadio Diego Armando Maradona,,Head-to-Head,
22,Sun,2027-01-31,,Sassuolo,,Como,,Mapei Stadium - Città del Tricolore,,Head-to-Head,
22,Sun,2027-01-31,,Cagliari,,Parma,,Unipol Domus,,Head-to-Head,
22,Sun,2027-01-31,,Genoa,,Lecce,,Stadio Comunale Luigi Ferraris,,Head-to-Head,
,,,,,,,,,,,
23,Sun,2027-02-07,,Juventus,,Sassuolo,,Allianz Stadium,,Head-to-Head,
23,Sun,2027-02-07,,Como,,Monza,,Stadio Giuseppe Sinigaglia,,Head-to-Head,
23,Sun,2027-02-07,,Bologna,,Milan,,Stadio Renato Dall'Ara,,Head-to-Head,
23,Sun,2027-02-07,,Roma,,Torino,,Stadio Olimpico,,Head-to-Head,
23,Sun,2027-02-07,,Lecce,,Napoli,,Stadio Comunale Ettore Giardiniero,,Head-to-Head,
23,Sun,2027-02-07,,Atalanta,,Lazio,,New Balance Arena,,Head-to-Head,
23,Sun,2027-02-07,,Venezia,,Genoa,,Stadio Pier Luigi Penzo,,Head-to-Head,
23,Sun,2027-02-07,,Fiorentina,,Udinese,,Stadio Artemio Franchi,,Head-to-Head,
23,Sun,2027-02-07,,Parma,,Frosinone,,Stadio Ennio Tardini,,Head-to-Head,
23,Sun,2027-02-07,,Inter,,Cagliari,,Stadio Giuseppe Meazza,,Head-to-Head,
,,,,,,,,,,,
