Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
27,Sun,2027-03-07,,Monza,,Genoa,,U-Power Stadium,,Head-to-Head,
,,,,,,,,,,,
28,Sun,2027-03-14,,Frosinone,,Monza,,Stadio Benito Stirpe,,Head-to-Head,
28,Sun,2027-03-14,,Torino,,Inter,,Stadio Olimpico Grande Torino,,Head-to-Head,
28,Sun,2027-03-14,,Venezia,,Atalanta,,Stadio Pier Luigi Penzo,,Head-to-Head,
28,Sun,2027-03-14,,Genoa,,Roma,,Stadio Comunale Luigi Ferraris,,Head-to-Head,
28,Sun,2027-03-14,,Lazio,,Juventus,,Stadio Olimpico,,Head-to-Head,
28,Sun,2027-03-14,,Bologna,,Napoli,,Stadio Renato Dall'Ara,,Head-to-Head,
28,Sun,2027-03-14,,Milan,,Sassuolo,,Stadio Giuseppe Meazza,,Head-to-Head,
28,Sun,2027-03-14,,Como,,Udinese,,Stadio Giuseppe Sinigaglia,,Head-to-Head,
28,Sun,2027-03-14,,Parma,,Lecce,,Stadio Ennio Tardini,,Head-to-Head,
28,Sun,2027-03-14,,Cagliari,,Fiorentina,,Unipol Domus,,Head-to-Head,
,,,,,,,,,,,
29,Sun,2027-03-21,,Juventus,,Como,,Allianz Stadium,,Head-to-Head,
29,Sun,2027-03-21,,Inter,,Frosinone,,Stadio Giuseppe Meazza,,Head-to-Head,
29,Sun,2027-03-21,,Atalanta,,Milan,,New Balance Arena,,Head-to-Head,
29,Sun,2027-03-21,,Fiorentina,,Genoa,,Stadio Artemio Franchi,,Head-to-Head,
29,Sun,2027-03-21,,Monza,,Bologna,,U-Power Stadium,,Head-to-Head,
29,Sun,2027-03-21,,Napoli,,Venezia,,Stadio Diego Armando Maradona,,Head-to-Head,
29,Sun,2027-03-21,,Sassuolo,,Cagliari,,Mapei Stadium - Città del Tricolore,,Head-to-Head,
29,Sun,2027-03-21,,Parma,,Lazio,,Stadio Ennio Tardini,,Head-to-Head,
29,Sun,2027-03-21,,Udinese,,Torino,,Bluenergy Stadium,,Head-to-Head,
29,Sun,2027-03-21,,Roma,,Lecce,,Stadio Olimpico,,Head-to-Head,
,,,,,,,,,,,
30,Sun,2027-04-04,,Genoa,,Inter,,Stadio Comunale Luigi Ferraris,,Head-to-Head,
30,Sun,2027-04-04,,Venezia,,Parma,,Stadio Pier Luigi Penzo,,Head-to-Head,
30,Sun,2027-04-04,,Como,,Fiorentina,,Stadio Giuseppe Sinigaglia,,Head-to-Head,
30,Sun,2027-04-04,,Milan,,Monza,,Stadio Giuseppe Meazza,,Head-to-Head,
30,Sun,2027-04-04,,Frosinone,,Udinese,,Stadio Benito Stirpe,,Head-to-Head,
30,Sun,2027-04-04,,Sassuolo,,Atalanta,,Mapei Stadium - Città del Tricolore,,Head-to-Head,
30,Sun,2027-04-04,,Roma,,Bologna,,Stadio Olimpico,,Head-to-Head,
30,Sun,2027-04-04,,Cagliari,,Napoli,,Unipol Domus,,Head-to-Head,
30,Sun,2027-04-04,,Torino,,Juventus,,Stadio Olimpico Grande Torino,,Head-to-Head,
30,Sun,2027-04-04,,Lecce,,Lazio,,Stadio Comunale Ettore Giardiniero,,Head-to-Head,
,,,,,,,,,,,
31,Sun,2027-04-11,,Inter,,Roma,,Stadio Giuseppe Meazza,,Head-to-Head,
31,Sun,2027-04-11,,Juventus,,Lecce,,Allianz Stadium,,Head-to-Head,
31,Sun,2027-04-11,,Udinese,,Monza,,Bluenergy Stadium,,Head-to-Head,
31,Sun,2027-04-11,,Fiorentina,,Milan,,Stadio Artemio Franchi,,Head-to-Head,
31,Sun,2027-04-11,,Cagliari,,Atalanta,,Unipol Domus,,Head-to-Head,
31,Sun,2027-04-11,,Parma,,Como,,Stadio Ennio Tardini,,Head-to-Head,
31,Sun,2027-04-11,,Frosinone,,Genoa,,Stadio Benito Stirpe,,Head-to-Head,
31,Sun,2027-04-11,,Napoli,,Sassuolo,,Stadio Diego Armando Maradona,,Head-to-Head,
31,Sun,2027-04-11,,Lazio,,Torino,,Stadio Olimpico,,Head-to-Head,
31,Sun,2027-04-11,,Bologna,,Venezia,,Stadio Renato Dall'Ara,,Head-to-Head,
,,,,,,,,,,,
32,Sun,2027-04-18,,Roma,,Lazio,,Stadio Olimpico,,Head-to-Head,
32,Sun,2027-04-18,,Como,,Frosinone,,Stadio Giuseppe Sinigaglia,,Head-to-Head,
32,Sun,2027-04-18,,Bologna,,Cagliari,,Stadio Renato Dall'Ara,,Head-to-Head,
32,Sun,2027-04-18,,Venezia,,Juventus,,Stadio Pier Luigi Penzo,,Head-to-Head,
32,Sun,2027-04-18,,Torino,,Genoa,,Stadio Olimpico Grande Torino,,Head-to-Head,
32,Sun,2027-04-18,,Atalanta,,Udinese,,New Balance Arena,,Head-to-Head,
32,Sun,2027-04-18,,Milan,,Napoli,,Stadio Giuseppe Meazza,,Head-to-Head,
32,Sun,2027-04-18,,Fiorentina,,Parma,,Stadio Artemio Franchi,,Head-to-Head,
32,Sun,2027-04-18,,Monza,,Inter,,U-Power Stadium,,Head-to-Head,
32,Sun,2027-04-18,,Sassuolo,,Lecce,,Mapei Stadium - Città del Tricolore,,Head-to-Head,
,,,,,,,,,,,
33,Sun,2027-04-25,,Lazio,,Como,,Stadio Olimpico,,Head-to-Head,
33,Sun,2027-04-25,,Genoa,,Sassuolo,,Stadio Comunale Luigi Ferraris,,Head-to-Head,
33,Sun,2027-04-25,,Frosinone,,Roma,,Stadio Benito Stirpe,,Head-to-Head,
33,Sun,2027-04-25,,Parma,,Atalanta,,Stadio Ennio Tardini,,Head-to-Head,
33,Sun,2027-04-25,,Venezia,,Torino,,Stadio Pier Luigi Penzo,,Head-to-Head,
33,Sun,2027-04-25,,Inter,,Bologna,,Stadio Giuseppe Meazza,,Head-to-Head,
33,Sun,2027-04-25,,Cagliari,,Monza,,Unipol Domus,,Head-to-Head,
33,Sun,2027-04-25,,Lecce,,Milan,,Stadio Comunale Ettore Giardiniero,,Head-to-Head,
33,Sun,2027-04-25,,Napoli,,Udinese,,Stadio Diego Armando Maradona,,Head-to-Head,
33,Sun,2027-04-25,,Juventus,,Fiorentina,,Allianz Stadium,,Head-to-Head,
,,,,,,,,,,,
34,Sun,2027-05-02,,Monza,,Venezia,,U-Power Stadium,,Head-to-Head,
34,Sun,2027-05-02,,Sassuolo,,Frosinone,,Mapei Stadium - Città del Tricolore,,Head-to-Head,
34,Sun,2027-05-02,,Milan,,Lazio,,Stadio Giuseppe Meazza,,Head-to-Head,
34,Sun,2027-05-02,,Como,,Inter,,Stadio Giuseppe Sinigaglia,,Head-to-Head,
34,Sun,2027-05-02,,Atalanta,,Juventus,,New Balance Arena,,Head-to-Head,
34,Sun,2027-05-02,,Roma,,Napoli,,Stadio Olimpico,,Head-to-Head,
34,Sun,2027-05-02,,Bologna,,Fiorentina,,Stadio Renato Dall'Ara,,Head-to-Head,
34,Sun,2027-05-02,,Torino,,Parma,,Stadio Olimpico Grande Torino,,Head-to-Head,
34,Sun,2027-05-02,,Lecce,,Cagliari,,Stadio Comunale Ettore Giardiniero,,Head-to-Head,
34,Sun,2027-05-02,,Udinese,,Genoa,,Bluenergy Stadium,,Head-to-Head,
,,,,,,,,,,,
35,Sun,2027-05-09,,Genoa,,Cagliari,,Stadio Comunale Luigi Ferraris,,Head-to-Head,
35,Sun,2027-05-09,,Parma,,Milan,,Stadio Ennio Tardini,,Head-to-Head,
35,Sun,2027-05-09,,Udinese,,Juventus,,Bluenergy Stadium,,Head-to-Head,
35,Sun,2027-05-09,,Lazio,,Sassuolo,,Stadio Olimpico,,Head-to-Head,
35,Sun,2027-05-09,,Frosinone,,Atalanta,,Stadio Benito Stirpe,,Head-to-Head,
35,Sun,2027-05-09,,Inter,,Lecce,,Stadio Giuseppe Meazza,,Head-to-Head,
35,Sun,2027-05-09,,Fiorentina,,Roma,,Stadio Artemio Franchi,,Head-to-Head,
35,Sun,2027-05-09,,Napoli,,Monza,,Stadio Diego Armando Maradona,,Head-to-Head,
35,Sun,2027-05-09,,Venezia,,Como,,Stadio Pier Luigi Penzo,,Head-to-Head,
35,Sun,2027-05-09,,Torino,,Bologna,,Stadio Olimpico Grande Torino,,Head-to-Head,
,,,,,,,,,,,
36,Sun,2027-05-16,,Lecce,,Fiorentina,,Stadio Comunale Ettore Giardiniero,,Head-to-Head,
36,Sun,2027-05-16,,Juventus,,Inter,,Allianz Stadium,,Head-to-Head,
36,Sun,2027-05-16,,Monza,,Parma,,U-Power Stadium,,Head-to-Head,
36,Sun,2027-05-16,,Napoli,,Genoa,,Stadio Diego Armando Maradona,,Head-to-Head,
36,Sun,2027-05-16,,Bologna,,Frosinone,,Stadio Renato Dall'Ara,,Head-to-Head,
36,Sun,2027-05-16,,Sassuolo,,Venezia,,Mapei Stadium - Città del Tricolore,,Head-to-Head,
36,Sun,2027-05-16,,Milan,,Roma,,Stadio Giuseppe Meazza,,Head-to-Head,
36,Sun,2027-05-16,,Cagliari,,Torino,,Unipol Domus,,Head-to-Head,
36,Sun,2027-05-16,,Como,,Atalanta,,Stadio Giuseppe Sinigaglia,,Head-to-Head,
36,Sun,2027-05-16,,Lazio,,Udinese,,Stadio Olimpico,,Head-to-Head,
,,,,,,,,,,,
37,Sun,2027-05-23,,Frosinone,,Cagliari,,Stadio Benito Stirpe,,Head-to-Head,
37,Sun,2027-05-23,,Roma,,Como,,Stadio Olimpico,,Head-to-Head,
37,Sun,2027-05-23,,Torino,,Napoli,,Stadio Olimpico Grande Torino,,Head-to-Head,
37,Sun,2027-05-23,,Udinese,,Sassuolo,,Bluenergy Stadium,,Head-to-Head,
37,Sun,2027-05-23,,Atalanta,,Lecce,,New Balance Arena,,Head-to-Head,
37,Sun,2027-05-23,,Inter,,Lazio,,Stadio Giuseppe Meazza,,Head-to-Head,
37,Sun,2027-05-23,,Parma,,Juventus,,Stadio Ennio Tardini,,Head-to-Head,
37,Sun,2027-05-23,,Venezia,,Milan,,Stadio Pier Luigi Penzo,,Head-to-Head,
37,Sun,2027-05-23,,Fiorentina,,Monza,,Stadio Artemio Franchi,,Head-to-Head,
37,Sun,2027-05-23,,Genoa,,Bologna,,Stadio Comunale Luigi Ferraris,,Head-to-Head,
,,,,,,,,,,,
38,Sun,2027-05-30,,Bologna,,Parma,,Stadio Renato Dall'Ara,,Head-to-Head,
38,Sun,2027-05-30,,Juventus,,Frosinone,,Allianz Stadium,,Head-to-Head,
38,Sun,2027-05-30,,Monza,,Torino,,U-Power Stadium,,Head-to-Head,
38,Sun,2027-05-30,,Como,,Genoa,,Stadio Giuseppe Sinigaglia,,Head-to-Head,
38,Sun,2027-05-30,,Sassuolo,,Inter,,Mapei Stadium - Città del Tricolore,,Head-to-Head,
38,Sun,2027-05-30,,Milan,,Udinese,,Stadio Giuseppe Meazza,,Head-to-Head,
38,Sun,2027-05-30,,Cagliari,,Roma,,Unipol Domus,,Head-to-Head,
38,Sun,2027-05-30,,Lecce,,Venezia,,Stadio Comunale Ettore Giardiniero,,Head-to-Head,
38,Sun,2027-05-30,,Lazio,,Fiorentina,,Stadio Olimpico,,Head-to-Head,
38,Sun,2027-05-30,,Napoli,,Atalanta,,Stadio Diego Armando Maradona,,Head-to-Head,
